CPT,LOCALITY,YEAR,NON_FAC_LC,OCSF_STANDARD_FEE
24138,03,2022,832.72,2189.0
24140,03,2022,854.58,2607.0
24145,03,2022,724.12,1466.0
24147,03,2022,759.69,1230.0
24149,03,2022,1422.32,3709.0
24150,03,2022,1886.95,2586.0
24152,03,2022,1638.15,2377.0
24155,03,2022,1039.78,2463.0
24160,03,2022,1518.48,2106.0
24164,03,2022,882.84,790.0
24300,03,2022,517.6,1186.0
24301,03,2022,912.94,1927.0
24305,03,2022,699.09,1959.0
24310,03,2022,576.25,1903.0
24320,03,2022,951.15,2603.0
24330,03,2022,874.79,1673.0
24331,03,2022,957.85,2210.0
24332,03,2022,747.85,1695.0
24340,03,2022,751.2,2145.0
24341,03,2022,897.67,4070.0
24342,03,2022,941.85,2750.0
24343,03,2022,862.43,2090.0
24344,03,2022,1325.79,3025.0
24345,03,2022,859.29,2382.0
24346,03,2022,1342.02,3630.0
24357,03,2022,496.57,1342.0
24358,03,2022,638.89,1760.0
24359,03,2022,802.2,1870.0
24360,03,2022,1101.51,2200.0
24362,03,2022,1295.25,5940.0
24363,03,2022,1758.69,4400.0
24365,03,2022,781.84,2750.0
24366,03,2022,827.01,2970.0
24400,03,2022,1003.09,2420.0
24430,03,2022,1282.7,3494.0
24435,03,2022,1310.83,3300.0
24495,03,2022,976.75,1825.0
24515,03,2022,1071.03,2970.0
24516,03,2022,1047.02,2750.0
24538,03,2022,959.57,2200.0
24545,03,2022,1129.66,5500.0
24546,03,2022,1261.36,3069.0
24575,03,2022,887.66,2640.0
24579,03,2022,1010.77,3120.0
24586,03,2022,1321.56,3468.0
24605,03,2022,578.48,935.0
24615,03,2022,866.84,2750.0
24620,03,2022,685.91,1100.0
24635,03,2022,816.54,3025.0
24665,03,2022,795.09,2365.0
24666,03,2022,887.28,2075.0
24685,03,2022,790.82,3300.0
24800,03,2022,1014.5,2947.0
24802,03,2022,1223.75,3466.0
24900,03,2022,899.33,2915.0
24920,03,2022,893.33,1683.0
24925,03,2022,691.43,1002.0
24930,03,2022,943.96,1815.0
25000,03,2022,411.1,1870.0
25001,03,2022,413.26,1047.0
25020,03,2022,888.47,880.0
25023,03,2022,1591.02,1636.0
25024,03,2022,951.1,4045.0
25025,03,2022,1438.49,6710.0
25028,03,2022,834.97,720.0
25035,03,2022,708.6,1181.0
25040,03,2022,676.39,1226.0
25066,03,2022,440.71,1540.0
25071,03,2022,519.38,1870.0
25073,03,2022,648.72,1650.0
25076,03,2022,624.45,937.0
25077,03,2022,1092.31,2039.0
